Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[1/7/26, 5:30:02 PM] - [Call]
[1/17/26, 3:33:22 PM] - [Call]
[5/17/26, 12:25:24 PM] Nataraj: Game
[5/17/26, 12:25:26 PM] Nataraj: Polam
[5/17/26, 12:34:24 PM] White Devil: Polam da
[5/17/26, 12:35:12 PM] Tamizh: 🖐️
[5/17/26, 12:38:24 PM] Nataraj: Vaanga bhai
[5/17/26, 6:09:18 PM] Nataraj: Game varingala guy's
[5/17/26, 6:11:23 PM] Rolex: This message was deleted
[5/17/26, 6:11:36 PM] Rolex: <sticker omitted>
[5/17/26, 6:12:18 PM] Tamizh: <sticker omitted>
[5/17/26, 6:12:26 PM] Nataraj: This message was deleted
[5/17/26, 6:12:39 PM] Nataraj: <sticker omitted>
[5/17/26, 6:18:19 PM] Rolex: <sticker omitted>
[5/17/26, 6:21:58 PM] Rolex: This message was deleted
[5/17/26, 6:22:12 PM] Rolex: This message was deleted
[5/17/26, 6:23:08 PM] Rolex: <sticker omitted>
[5/17/26, 6:38:59 PM] Nataraj: <sticker omitted>
[5/17/26, 7:14:19 PM] Rolex: This message was deleted
[5/17/26, 7:15:00 PM] Rolex: <sticker omitted>
[5/20/26, 12:22:41 PM] Nataraj: Guy's Game update
[5/20/26, 12:22:50 PM] Nataraj: Launched
[5/20/26, 12:35:58 PM] Rolex: <sticker omitted>
[5/20/26, 12:36:13 PM] Nataraj: <sticker omitted>
[5/20/26, 12:36:18 PM] Nataraj: <sticker omitted>
[5/20/26, 12:36:22 PM] Rolex: <sticker omitted>
[5/20/26, 6:17:52 PM] Nataraj: Devil bhai game polam. Ah
[5/20/26, 6:37:03 PM] Rolex: <sticker omitted>
[5/24/26, 12:23:58 AM] Nataraj: <image omitted>
[5/24/26, 4:35:24 PM] Tamizh: Game
[5/24/26, 4:35:28 PM] Tamizh: Bai
[5/24/26, 4:35:41 PM] Tamizh: Aaja
[5/24/26, 4:35:44 PM] Tamizh: Bai
[5/24/26, 4:36:09 PM] Rolex: <sticker omitted>
[5/24/26, 4:37:15 PM] You: Update bro
[5/24/26, 4:37:29 PM] Tamizh: <sticker omitted>
[5/24/26, 4:37:44 PM] Rolex: <sticker omitted>
[5/24/26, 4:38:02 PM] Tamizh: Ongoing bru
[5/24/26, 4:38:13 PM] Tamizh: <sticker omitted>
[5/24/26, 4:38:14 PM] Tamizh: <sticker omitted>
[5/24/26, 4:38:22 PM] Tamizh: <sticker omitted>
[5/24/26, 4:38:27 PM] Tamizh: <sticker omitted>
[5/24/26, 4:38:31 PM] Tamizh: <sticker omitted>
[5/24/26, 4:38:35 PM] Rolex: <sticker omitted>
[5/24/26, 4:39:10 PM] Rolex: <sticker omitted>
[5/24/26, 4:39:36 PM] Tamizh: How is Status
[5/24/26, 4:40:10 PM] Rolex: <sticker omitted>
[5/24/26, 4:40:26 PM] Tamizh: <sticker omitted>
[5/24/26, 4:40:41 PM] Tamizh: <sticker omitted>
[5/24/26, 4:40:42 PM] Rolex: ❤️❤️‍🔥😘
[5/24/26, 4:41:16 PM] Tamizh: <sticker omitted>
[5/24/26, 4:41:48 PM] Rolex: Apa umbu va
[5/24/26, 4:42:08 PM] Tamizh: Atha ummpitu poochila
[5/24/26, 4:42:28 PM] Rolex: <sticker omitted>
[5/24/26, 4:42:58 PM] Tamizh: Emimay anil aatam than
[5/24/26, 4:43:18 PM] Tamizh: Gunji narukidhuvan
[5/24/26, 4:43:42 PM] Rolex: Anil aatam umba veda poraanga
[5/24/26, 4:44:21 PM] Tamizh: <sticker omitted>
[5/24/26, 4:44:23 PM] Tamizh: <sticker omitted>
[5/24/26, 4:56:57 PM] Nataraj: Manja makka punda...
[5/24/26, 4:56:58 PM] Nataraj: [Forwarded] <image omitted>
[5/24/26, 4:57:24 PM] Rolex: <sticker omitted>
[5/24/26, 4:57:28 PM] Tamizh: <sticker omitted>
[5/24/26, 4:57:42 PM] Rolex: <sticker omitted>
[5/24/26, 4:58:04 PM] Tamizh: <sticker omitted>
[5/24/26, 4:58:15 PM] Rolex: <sticker omitted>
[5/24/26, 4:58:20 PM] Tamizh: <sticker omitted>
[5/24/26, 4:58:27 PM] Rolex: 😘😘
[5/24/26, 4:58:42 PM] +91 861 055 5637: <GIF omitted>
[5/24/26, 4:59:12 PM] Nataraj: Gay
[5/24/26, 4:59:21 PM] Nataraj: Vada mukil eh
[5/24/26, 4:59:39 PM] +91 861 055 5637: Mm sollu bro
[5/24/26, 4:59:43 PM] Rolex: <sticker omitted>
[5/24/26, 4:59:51 PM] Rolex: 😘
[5/24/26, 5:00:12 PM] Nataraj: Summa than
[5/24/26, 5:00:21 PM] Rolex: <sticker omitted>
[5/24/26, 5:00:24 PM] Rolex: <sticker omitted>
[5/24/26, 5:00:44 PM] Nataraj: <sticker omitted>
[5/24/26, 5:01:03 PM] +91 861 055 5637: Mm
[5/24/26, 5:03:21 PM] Rolex: 😘
[5/24/26, 9:48:04 PM] Tamizh: Game
[5/24/26, 9:51:20 PM] Rolex: <sticker omitted>
[5/24/26, 10:01:59 PM] Nataraj: <sticker omitted>
[5/24/26, 10:04:22 PM] Rolex: <sticker omitted>
[5/24/26, 10:04:28 PM] Nataraj: <sticker omitted>
[5/24/26, 10:04:40 PM] Rolex: <sticker omitted>
[5/24/26, 10:04:47 PM] Tamizh: <sticker omitted>
[5/24/26, 10:04:48 PM] Tamizh: <sticker omitted>
[5/24/26, 10:04:50 PM] Tamizh: <sticker omitted>
[5/24/26, 10:05:03 PM] Nataraj: <sticker omitted>
[5/24/26, 10:06:09 PM] Rolex: 😘😘
[5/24/26, 10:06:20 PM] Rolex: <sticker omitted>
[5/24/26, 10:06:22 PM] Rolex: <sticker omitted>
[5/24/26, 10:06:24 PM] Rolex: <sticker omitted>
[5/24/26, 10:06:25 PM] Rolex: <sticker omitted>
[5/24/26, 10:28:41 PM] Tamizh: <image omitted>
[5/24/26, 10:33:00 PM] Rolex: <sticker omitted>
[5/24/26, 11:06:24 PM] Sk PUBG: <sticker omitted>
[5/24/26, 11:08:04 PM] Tamizh: <sticker omitted>
[5/25/26, 9:10:05 AM] Nataraj: <sticker omitted>
[5/27/26, 7:47:12 PM] - Nataraj added +91 91711 11101
[5/27/26, 7:47:19 PM] Nataraj: Game varingala
[5/27/26, 7:47:51 PM] Tamizh: <sticker omitted>
[5/27/26, 7:51:51 PM] Nataraj: <sticker omitted>
[5/27/26, 7:52:07 PM] Tamizh: <sticker omitted>
[5/27/26, 7:53:03 PM] Rolex: <sticker omitted>
[5/27/26, 7:55:39 PM] Nataraj: <sticker omitted>
[5/27/26, 10:48:13 PM] Nataraj: <image omitted>
[5/28/26, 6:56:11 PM] Nataraj: Game polam ah
[5/28/26, 7:01:24 PM] Rolex: <sticker omitted>
[5/28/26, 10:08:04 PM] Nataraj: <sticker omitted>
[5/29/26, 9:51:04 PM] Nataraj: Game polam ah
[5/29/26, 10:09:00 PM] Rolex: <sticker omitted>
[5/30/26, 1:30:23 PM] Tamizh: Game
[5/30/26, 1:54:29 PM] Rolex: <sticker omitted>
[5/30/26, 1:59:51 PM] Nataraj: <sticker omitted>
[5/30/26, 2:07:48 PM] Rolex: <sticker omitted>
[5/30/26, 2:08:44 PM] Tamizh: <sticker omitted>
[5/30/26, 2:09:06 PM] Rolex: Game
[5/30/26, 2:09:11 PM] Rolex: ??
[5/30/26, 2:09:16 PM] Tamizh: Vaa
[5/30/26, 2:09:21 PM] Tamizh: Da potta
[5/30/26, 2:10:18 PM] Rolex: Ne va da sunni
